title,gender,category,subcategory,brand,color,size,size_notes,waist,inseam,rise,fit,material,pattern,condition,price_usd,compare_at_usd,availability,era,description,model_info,care_instructions,sku,product_url,image_urls,product_handle,product_type,tags
Rogue Crossed Zip Hoodie,Women,Tops,Hoodie,Rogue,,Small,,,,,,,,,98.00,,Sold out,,Affliction x Rogue Crossed Zip-Up Long Sleeve & Hood 100% Cotton Burgundy Lava Wash Heavy Enzyme Silicone Softener Black Flocking on Front & Back This unique Affliction hoodie features a bold screen print with the classic Affliction cross design foiled on the back. Quantities are very limited—don’t miss out!,,,,https://roguegarms.com/products/hoodie,https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7917-2.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7912-2.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7914.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7882.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7888.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7889.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Crossed_-_Affliction_Clothing-3105976_5000x_71ee51d5-ce59-4b2e-b65e-4e34ea70f308.webp?v=1725896165|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Crossed_-_Affliction_Clothing-3105972_5000x_5fe17ac8-b35c-4f52-a8c0-7c6d7e3660ca.webp?v=1725896165|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Crossed_-_Affliction_Clothing-3105979_5000x_54aa2c14-960c-45da-ab47-d64e54e9cde3.jpg?v=1725896165,hoodie,,"affliction,jacket,longsleeve,men's,Men's Outwear,men's top,Outerwear,tee,women's,Women's Outerwear,Women's Top"
Rogue Crossed Zip Hoodie,Women,Tops,Hoodie,Rogue,,Medium,,,,,,,,,98.00,,Sold out,,Affliction x Rogue Crossed Zip-Up Long Sleeve & Hood 100% Cotton Burgundy Lava Wash Heavy Enzyme Silicone Softener Black Flocking on Front & Back This unique Affliction hoodie features a bold screen print with the classic Affliction cross design foiled on the back. Quantities are very limited—don’t miss out!,,,,https://roguegarms.com/products/hoodie,https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7917-2.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7912-2.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7914.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7882.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7888.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7889.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Crossed_-_Affliction_Clothing-3105976_5000x_71ee51d5-ce59-4b2e-b65e-4e34ea70f308.webp?v=1725896165|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Crossed_-_Affliction_Clothing-3105972_5000x_5fe17ac8-b35c-4f52-a8c0-7c6d7e3660ca.webp?v=1725896165|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Crossed_-_Affliction_Clothing-3105979_5000x_54aa2c14-960c-45da-ab47-d64e54e9cde3.jpg?v=1725896165,hoodie,,"affliction,jacket,longsleeve,men's,Men's Outwear,men's top,Outerwear,tee,women's,Women's Outerwear,Women's Top"
Rogue Crossed Zip Hoodie,Women,Tops,Hoodie,Rogue,,Large,,,,,,,,,98.00,,Sold out,,Affliction x Rogue Crossed Zip-Up Long Sleeve & Hood 100% Cotton Burgundy Lava Wash Heavy Enzyme Silicone Softener Black Flocking on Front & Back This unique Affliction hoodie features a bold screen print with the classic Affliction cross design foiled on the back. Quantities are very limited—don’t miss out!,,,,https://roguegarms.com/products/hoodie,https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7917-2.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7912-2.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7914.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7882.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7888.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7889.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Crossed_-_Affliction_Clothing-3105976_5000x_71ee51d5-ce59-4b2e-b65e-4e34ea70f308.webp?v=1725896165|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Crossed_-_Affliction_Clothing-3105972_5000x_5fe17ac8-b35c-4f52-a8c0-7c6d7e3660ca.webp?v=1725896165|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Crossed_-_Affliction_Clothing-3105979_5000x_54aa2c14-960c-45da-ab47-d64e54e9cde3.jpg?v=1725896165,hoodie,,"affliction,jacket,longsleeve,men's,Men's Outwear,men's top,Outerwear,tee,women's,Women's Outerwear,Women's Top"
Rogue Crossed Zip Hoodie,Women,Tops,Hoodie,Rogue,,Extra large,,,,,,,,,98.00,,Sold out,,Affliction x Rogue Crossed Zip-Up Long Sleeve & Hood 100% Cotton Burgundy Lava Wash Heavy Enzyme Silicone Softener Black Flocking on Front & Back This unique Affliction hoodie features a bold screen print with the classic Affliction cross design foiled on the back. Quantities are very limited—don’t miss out!,,,,https://roguegarms.com/products/hoodie,https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7917-2.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7912-2.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7914.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7882.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7888.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7889.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Crossed_-_Affliction_Clothing-3105976_5000x_71ee51d5-ce59-4b2e-b65e-4e34ea70f308.webp?v=1725896165|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Crossed_-_Affliction_Clothing-3105972_5000x_5fe17ac8-b35c-4f52-a8c0-7c6d7e3660ca.webp?v=1725896165|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Crossed_-_Affliction_Clothing-3105979_5000x_54aa2c14-960c-45da-ab47-d64e54e9cde3.jpg?v=1725896165,hoodie,,"affliction,jacket,longsleeve,men's,Men's Outwear,men's top,Outerwear,tee,women's,Women's Outerwear,Women's Top"
Rogue Crossed Zip Hoodie,Women,Tops,Hoodie,Rogue,,XXL,,,,,,,,,98.00,,Sold out,,Affliction x Rogue Crossed Zip-Up Long Sleeve & Hood 100% Cotton Burgundy Lava Wash Heavy Enzyme Silicone Softener Black Flocking on Front & Back This unique Affliction hoodie features a bold screen print with the classic Affliction cross design foiled on the back. Quantities are very limited—don’t miss out!,,,,https://roguegarms.com/products/hoodie,https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7917-2.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7912-2.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7914.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7882.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7888.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7889.jpg?v=1725563498|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Crossed_-_Affliction_Clothing-3105976_5000x_71ee51d5-ce59-4b2e-b65e-4e34ea70f308.webp?v=1725896165|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Crossed_-_Affliction_Clothing-3105972_5000x_5fe17ac8-b35c-4f52-a8c0-7c6d7e3660ca.webp?v=1725896165|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Crossed_-_Affliction_Clothing-3105979_5000x_54aa2c14-960c-45da-ab47-d64e54e9cde3.jpg?v=1725896165,hoodie,,"affliction,jacket,longsleeve,men's,Men's Outwear,men's top,Outerwear,tee,women's,Women's Outerwear,Women's Top"
Rogue Darkness Tee,Women,Tops,T-Shirt,Rogue,,Small,,,,,,,,,54.00,,Sold out,,"Affliction x Rogue Darkness Affliction Tee 100% Cotton Black Reactive Enzyme Silicone Wash After Print Copper Foil on Front & Back Grinding On Collar, Sleeves, & Bottom Hem Male model is wearing a size Large, recommend sizing up if you are looking for a baggy fit This unique Affliction tee features a bold screen print with “Rogue” foiled on the front. Quantities are very limited—don’t miss out!",,,,https://roguegarms.com/products/foil-tee,https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7864.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7866.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7965.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7972.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Darkness_-_Affliction_Clothing-3106003_5000x_3db998aa-528f-447f-9cef-18f67a92eb78.webp?v=1725897204|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Darkness_-_Affliction_Clothing-3106004_5000x_ae0f2a7f-973b-4d3d-ae6a-85f75cadba7a.webp?v=1725897204|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Darkness_-_Affliction_Clothing-3106007_5000xcopy.jpg?v=1725897204,foil-tee,,"affliction,men's,men's top,New Arrivals,T-shirts,tee,top,tops,vintage,Women's Top,womens"
Rogue Darkness Tee,Women,Tops,T-Shirt,Rogue,,Medium,,,,,,,,,54.00,,Sold out,,"Affliction x Rogue Darkness Affliction Tee 100% Cotton Black Reactive Enzyme Silicone Wash After Print Copper Foil on Front & Back Grinding On Collar, Sleeves, & Bottom Hem Male model is wearing a size Large, recommend sizing up if you are looking for a baggy fit This unique Affliction tee features a bold screen print with “Rogue” foiled on the front. Quantities are very limited—don’t miss out!",,,,https://roguegarms.com/products/foil-tee,https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7864.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7866.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7965.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7972.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Darkness_-_Affliction_Clothing-3106003_5000x_3db998aa-528f-447f-9cef-18f67a92eb78.webp?v=1725897204|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Darkness_-_Affliction_Clothing-3106004_5000x_ae0f2a7f-973b-4d3d-ae6a-85f75cadba7a.webp?v=1725897204|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Darkness_-_Affliction_Clothing-3106007_5000xcopy.jpg?v=1725897204,foil-tee,,"affliction,men's,men's top,New Arrivals,T-shirts,tee,top,tops,vintage,Women's Top,womens"
Rogue Darkness Tee,Women,Tops,T-Shirt,Rogue,,Large,,,,,,,,,54.00,,Sold out,,"Affliction x Rogue Darkness Affliction Tee 100% Cotton Black Reactive Enzyme Silicone Wash After Print Copper Foil on Front & Back Grinding On Collar, Sleeves, & Bottom Hem Male model is wearing a size Large, recommend sizing up if you are looking for a baggy fit This unique Affliction tee features a bold screen print with “Rogue” foiled on the front. Quantities are very limited—don’t miss out!",,,,https://roguegarms.com/products/foil-tee,https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7864.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7866.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7965.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7972.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Darkness_-_Affliction_Clothing-3106003_5000x_3db998aa-528f-447f-9cef-18f67a92eb78.webp?v=1725897204|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Darkness_-_Affliction_Clothing-3106004_5000x_ae0f2a7f-973b-4d3d-ae6a-85f75cadba7a.webp?v=1725897204|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Darkness_-_Affliction_Clothing-3106007_5000xcopy.jpg?v=1725897204,foil-tee,,"affliction,men's,men's top,New Arrivals,T-shirts,tee,top,tops,vintage,Women's Top,womens"
Rogue Darkness Tee,Women,Tops,T-Shirt,Rogue,,Extra large,,,,,,,,,54.00,,Sold out,,"Affliction x Rogue Darkness Affliction Tee 100% Cotton Black Reactive Enzyme Silicone Wash After Print Copper Foil on Front & Back Grinding On Collar, Sleeves, & Bottom Hem Male model is wearing a size Large, recommend sizing up if you are looking for a baggy fit This unique Affliction tee features a bold screen print with “Rogue” foiled on the front. Quantities are very limited—don’t miss out!",,,,https://roguegarms.com/products/foil-tee,https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7864.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7866.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7965.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7972.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Darkness_-_Affliction_Clothing-3106003_5000x_3db998aa-528f-447f-9cef-18f67a92eb78.webp?v=1725897204|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Darkness_-_Affliction_Clothing-3106004_5000x_ae0f2a7f-973b-4d3d-ae6a-85f75cadba7a.webp?v=1725897204|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Darkness_-_Affliction_Clothing-3106007_5000xcopy.jpg?v=1725897204,foil-tee,,"affliction,men's,men's top,New Arrivals,T-shirts,tee,top,tops,vintage,Women's Top,womens"
Rogue Darkness Tee,Women,Tops,T-Shirt,Rogue,,XXL,,,,,,,,,54.00,,Sold out,,"Affliction x Rogue Darkness Affliction Tee 100% Cotton Black Reactive Enzyme Silicone Wash After Print Copper Foil on Front & Back Grinding On Collar, Sleeves, & Bottom Hem Male model is wearing a size Large, recommend sizing up if you are looking for a baggy fit This unique Affliction tee features a bold screen print with “Rogue” foiled on the front. Quantities are very limited—don’t miss out!",,,,https://roguegarms.com/products/foil-tee,https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7864.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7866.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7965.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/IMG_7972.jpg?v=1725563326|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Darkness_-_Affliction_Clothing-3106003_5000x_3db998aa-528f-447f-9cef-18f67a92eb78.webp?v=1725897204|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Darkness_-_Affliction_Clothing-3106004_5000x_ae0f2a7f-973b-4d3d-ae6a-85f75cadba7a.webp?v=1725897204|https://cdn.shopify.com/s/files/1/0444/5834/4613/files/Rogue_Darkness_-_Affliction_Clothing-3106007_5000xcopy.jpg?v=1725897204,foil-tee,,"affliction,men's,men's top,New Arrivals,T-shirts,tee,top,tops,vintage,Women's Top,womens"
